xid,name,rate,osm,wikidata,kinds,longitude,latitude,country
N197504455,Saint-Maurice,7.0,node/197504455,Q69545,"historic,historical_places,interesting_places,historic_settlements",7.00452,46.2198,France
N1978951459,State Agricultural University,7.0,node/1978951459,Q8213985,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",44.5254,40.1907,Armenia
N1978951462,"""Yerevan State Medical University""",7.0,node/1978951462,Q2082826,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",44.5245,40.1882,Armenia
N1979454156,Pregarje,7.0,node/1979454156,Q1969802,"historic,historical_places,interesting_places,historic_settlements",14.1344,45.5792,Eslovenia
N198397290,Pueblo Liebig,7.0,node/198397290,Q7258456,"historic,historical_places,interesting_places,historic_settlements",-58.1929,-32.155,Argentina
N198408160,San José palace,7.0,node/198408160,Q2483110,"national_museums,palaces,architecture,historic_architecture,cultural,museums,interesting_places,history_museums",-58.5239,-32.4266,Argentina
N198414310,Puerto San Julián,7.0,node/198414310,Q955668,"historic,historical_places,interesting_places,historic_settlements",-67.7298,-49.307,Argentina
N198414366,Puerto Santa Cruz,7.0,node/198414366,Q932809,"historic,historical_places,interesting_places,historic_settlements",-68.5231,-50.0192,Argentina
N198414983,Purmamarca,7.0,node/198414983,Q1025405,"historic,historical_places,interesting_places,historic_settlements",-65.4992,-23.7461,Argentina
N198424777,Santa Rosa de Tastil,7.0,node/198424777,Q370723,"historic,historical_places,archaeology,interesting_places,other_archaeological_sites,historic_settlements",-65.9519,-24.4509,Argentina
N198437014,Yapeyú,7.0,node/198437014,Q55854,"historic,historical_places,interesting_places,historic_settlements",-56.8164,-29.4667,Argentina
N198437091,Yavi,7.0,node/198437091,Q1024040,"historic,historical_places,interesting_places,historic_settlements",-65.4623,-22.1311,Argentina
N198453670,José de San Martín,7.0,node/198453670,Q1015513,"historic,historical_places,interesting_places,historic_settlements",-70.4706,-44.0515,Argentina
N1986388742,Murray Springs Clovis Site,7.0,node/1986388742,Q6939471,"historic,archaeology,interesting_places,other_archaeological_sites",-110.179,31.5705,United States
N1991622297,Rothenburg Castle,7.0,node/1991622297,Q179549,"architecture,historic_architecture,fortifications,historic,interesting_places,destroyed_objects,castles",7.57554,49.0246,France
N2001818936,Great St Bernard Pass,7.0,node/2001818936,Q623424,"other,unclassified_objects,interesting_places,historic_object",7.17088,45.8689,Alemania
N2004300269,Capilla de Tegua,7.0,node/2004300269,Q25404103,"religion,other_temples,interesting_places",-64.2828,-32.6402,Argentina
N2004728367,Teatro Juares,7.0,node/2004728367,Q6139768,"cultural,theatres_and_entertainments,interesting_places,other_theatres",-69.3163,10.0657,Venezuela
N2013879310,Avenue H,7.0,node/2013879310,Q2338494,"railway_stations,industrial_facilities,interesting_places",-73.9616,40.6293,United States
N2018208570,Porta San Giovanni,7.0,node/2018208570,Q2104896,"fortifications,defensive_walls,historic,archaeology,interesting_places,other_archaeological_sites",12.5093,41.8859,Italia
N2021222109,Chōkyū temple,7.0,node/2021222109,Q11652985,"religion,buddhist_temples,interesting_places",135.727,34.7186,Japón
N2023937613,"Iglesia María Magdalena, Pueblo Libre",7.0,node/2023937613,Q42850567,"religion,other_temples,interesting_places",-77.0633,-12.0782,Perú
N2024730426,GR 89,7.0,node/2024730426,Q1032560,"architecture,historic_architecture,historical_places,historic,water,natural,interesting_places,canals,historic_settlements,other_buildings_and_structures",-4.73678,41.6678,España
N2028343800,Begunje,7.0,node/2028343800,Q814409,"historic,historical_places,interesting_places,historic_settlements",14.1998,46.3746,Eslovenia
N2030457748,Labor / Laura,7.0,node/2030457748,Q3272823,"historic,historical_places,interesting_places,historic_settlements",13.7732,45.4761,Eslovenia
N2030458261,Boršt,7.0,node/2030458261,Q762689,"historic,historical_places,interesting_places,historic_settlements",13.7982,45.4853,Eslovenia
N2032299657,Palestra Sannitica,7.0,node/2032299657,Q3891745,"architecture,historic_architecture,interesting_places,destroyed_objects",14.488,40.7489,Italia
N2038426438,Bar Britanico,7.0,node/2038426438,Q16535985,"architecture,historic_architecture,interesting_places,cafes,foods,bars,tourist_facilities,other_buildings_and_structures",-58.371,-34.6253,Argentina
N2047626332,Bamberger Bahnhof,7.0,node/2047626332,Q800444,"railway_stations,industrial_facilities,interesting_places",10.8983,49.9003,Alemania
N2050764158,"Cathedral of Mercedes, Uruguay",7.0,node/2050764158,Q5758499,"religion,cathedrals,interesting_places",-58.0301,-33.2488,Uruguay
N2052100211,Fowler House,7.0,node/2052100211,Q8565171,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",-97.3228,30.1151,United States
N2052100249,Jenkins House,7.0,node/2052100249,Q6177605,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",-97.3205,30.1188,United States
N2052100263,White House,7.0,node/2052100263,Q7994844,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",-97.3198,30.1144,United States
N2052185892,Kerr Community Center,7.0,node/2052185892,Q6394315,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",-97.3118,30.1086,United States
N2052185904,T. A. Hasler House,7.0,node/2052185904,Q14711347,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",-97.3173,30.1125,United States
N2052220939,Bee County Courthouse,7.0,node/2052220939,Q54871487,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",-97.7485,28.4014,United States
N2052220941,NAS Chase Field - Building 1001,7.0,node/2052220941,Q6952558,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",-97.6637,28.3732,United States
N2052220942,NAS Chase Field - Building 1009,7.0,node/2052220942,Q6952558,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",-97.6614,28.3731,United States
N2052220944,NAS Chase Field - Building 1042,7.0,node/2052220944,Q6952558,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",-97.6608,28.3727,United States
N2052220945,NAS Chase Field - Quarters R,7.0,node/2052220945,Q6952558,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",-97.6642,28.3744,United States
N2054888800,Puente romano de Masegoso,7.0,node/2054888800,Q4966441,"roman_bridges,bridges,architecture,historic,monuments_and_memorials,archaeology,interesting_places,other_archaeological_sites,monuments",-2.14734,41.7638,España
N2055364709,Casa Solans,7.0,node/2055364709,Q8341677,"historic,monuments_and_memorials,interesting_places,monuments",-0.867657,41.6608,España
N2055889044,Faro de Cabo Polonio,7.0,node/2055889044,Q5856367,"lighthouses,towers,architecture,interesting_places,other_towers",-53.7778,-34.4054,Uruguay
N2056465882,Sant Salvador,7.0,node/2056465882,Q47171108,"religion,churches,interesting_places,other_churches",0.98895,41.8409,España
N2058688260,Whitford,7.0,node/2058688260,Q7996468,"railway_stations,industrial_facilities,interesting_places",-75.6381,40.0146,United States
N2062223647,Santa Eulalia,7.0,node/2062223647,Q9018423,"historical_places,historic,interesting_places,historic_settlements",-0.850454,38.5682,España
N2066042913,Prang Khaek,7.0,node/2066042913,Q3401317,"towers,architecture,historic_architecture,interesting_places,destroyed_objects,other_towers",100.612,14.8023,Tailandia
N2066970671,Sapara,7.0,node/2066970671,Q7420914,"religion,historic,historical_places,monasteries,interesting_places,historic_settlements",43.0311,41.6019,Geogia
N207115320,Porta Calcinara,7.0,node/207115320,Q100271582,"architecture,historic_architecture,fortifications,defensive_walls,historic,interesting_places,destroyed_objects",9.14925,45.1823,Italia
N2071876333,Basilica of the Immaculate Conception,7.0,node/2071876333,Q4867409,"religion,churches,interesting_places,other_churches",-93.0877,31.7612,United States
N2074158265,Teatro Municipal de Iquique,7.0,node/2074158265,Q6139822,"cultural,theatres_and_entertainments,interesting_places,other_theatres",-70.1524,-20.2148,Chile
N2075162134,Château de Wendel,7.0,node/2075162134,Q22959742,"fortifications,historic,interesting_places,castles",6.07074,49.325,France
N2077419755,Wat Nok,7.0,node/2077419755,Q106938054,"architecture,historic_architecture,historic,archaeology,interesting_places,destroyed_objects,other_archaeological_sites",100.567,14.3561,Tailandia
N2077632382,Santa Maria,7.0,node/2077632382,Q18007638,"religion,churches,interesting_places,other_churches",1.08759,41.47,España
N2077688926,Sant Jaume,7.0,node/2077688926,Q28057482,"religion,churches,interesting_places,other_churches",1.01747,41.5614,España
N2078630168,Castell de Castellnou d'Ossó,7.0,node/2078630168,Q11680594,"fortifications,historic,interesting_places,castles",1.14427,41.768,España
N2079322203,Wat Thung Si Muang,7.0,node/2079322203,Q57833223,"religion,buddhist_temples,interesting_places",104.861,15.2303,Tailandia
N2080804375,Kunouzan Toshogu,7.0,node/2080804375,Q712162,"religion,other_temples,interesting_places",138.468,34.9648,Japón
N2084544446,Ghoom,7.0,node/2084544446,Q60181073,"railway_stations,industrial_facilities,interesting_places",88.2536,27.0084,India
N2088966959,Castelo Novo,7.0,node/2088966959,Q1024355,"historical_places,historic,interesting_places,historic_districts,historic_settlements",-7.49538,40.078,Portugal
N2089869683,Mare de Déu del Lledó de Valls,7.0,node/2089869683,Q15407990,"religion,churches,interesting_places,other_churches",1.252,41.2891,España
N2090403361,Wat Dokmai,7.0,node/2090403361,Q16004169,"railway_stations,industrial_facilities,religion,buddhist_temples,interesting_places",100.525,13.6824,Tailandia
N2093188429,Wat Phra Non Khon Muang,7.0,node/2093188429,Q13020758,"religion,buddhist_temples,interesting_places",98.9778,18.8453,Tailandia
N2095992767,Ringwallanlage Buschelberg,7.0,node/2095992767,Q1017310,"fortifications,historic,archaeology,interesting_places,castles,other_archaeological_sites",10.6539,48.2969,Alemania
N2095992768,Ringwallanlage Buschelberg,7.0,node/2095992768,Q1017310,"fortifications,historic,archaeology,interesting_places,castles,other_archaeological_sites",10.6571,48.2975,Alemania
N2095992769,Ringwallanlage Buschelberg,7.0,node/2095992769,Q1017310,"fortifications,historic,archaeology,interesting_places,castles,other_archaeological_sites",10.6551,48.2996,Alemania
N2105949495,The Aviator Statue - James Rogers McConnell,7.0,node/2105949495,Q14713293,"historic,monuments_and_memorials,cultural,urban_environment,interesting_places,sculptures,monuments",-78.5058,38.0364,United States
N2106295440,Kompolje,7.0,node/2106295440,Q2703046,"historic,historical_places,interesting_places,historic_settlements",15.2658,46.0402,Eslovenia
N2118702237,Ascensor Cordillera,7.0,node/2118702237,Q5707956,"railway_stations,industrial_facilities,historic,monuments_and_memorials,interesting_places,monuments",-71.6306,-33.038,Chile
N2118702244,Ascensor Cordillera,7.0,node/2118702244,Q5707956,"railway_stations,industrial_facilities,historic,monuments_and_memorials,interesting_places,monuments",-71.6302,-33.0378,Chile
N2118707971,Artillería funicular railway,7.0,node/2118707971,Q4801155,"railway_stations,industrial_facilities,historic,monuments_and_memorials,interesting_places,monuments",-71.6301,-33.0337,Chile
N2119505577,Mare de Déu d'Horta d'Ivars d'Urgell,7.0,node/2119505577,Q17619046,"religion,churches,interesting_places,other_churches",0.991837,41.6813,España
N2119505578,Mare de Déu d'Horta d'Ivars d'Urgell,7.0,node/2119505578,Q17619046,"religion,churches,interesting_places,other_churches",0.991634,41.6803,España
N2120525368,Inuyama Castle Tourist Information,7.0,node/2120525368,Q1155484,"fortifications,historic,interesting_places,other_fortifications",136.938,35.3863,Japón
N2120569991,Església de Nostra Senyora de l'Assumpció,7.0,node/2120569991,Q5909505,"religion,churches,interesting_places,other_churches",-1.20563,39.5672,España
N2122906064,Museo de la Casa de Castañares,7.0,node/2122906064,Q20015064,"cultural,museums,interesting_places,history_museums",-65.3959,-24.7318,Argentina
N2127719602,Dolmen de Roscasquen,7.0,node/2127719602,Q22926431,"megaliths,historic,dolmens,monuments_and_memorials,archaeology,burial_places,interesting_places,monuments",-3.51234,47.8642,France
N2128423970,Teatro Municipal de Valencia,7.0,node/2128423970,Q9082177,"cultural,theatres_and_entertainments,interesting_places,other_theatres",-68.0063,10.1824,Venezuela
N2131396854,Nirayama Reverberatory Furnaces,7.0,node/2131396854,Q20042067,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",138.962,35.0397,Japón
N2133325245,Faro de San Juan de Salvamento,7.0,node/2133325245,Q3378548,"lighthouses,towers,architecture,interesting_places,other_towers",-63.8569,-54.7324,Argentina
N2137276238,Batalla de Pichincha,2.0,node/2137276238,Q1402751,"historic,battlefields,historical_places,interesting_places",-78.5275,-0.218714,Ecuador
N2137315334,Combate de Riobamba,3.0,node/2137315334,Q3019677,"historic,battlefields,historical_places,interesting_places",-78.7003,-1.60483,Ecuador
N2137755757,Santa Cecília del Tarròs,7.0,node/2137755757,Q28841904,"religion,churches,interesting_places,other_churches",1.03363,41.7079,España
N214190981,Oficina Pedro de Valdivia,7.0,node/214190981,Q6049300,"historic,historical_places,interesting_places,historic_settlements",-69.6695,-22.5961,Chile
N214200463,Montegrande,7.0,node/214200463,Q16608822,"historic,historical_places,interesting_places,historic_settlements",-70.4944,-30.0939,Chile
N214202783,Caleta Tortel,7.0,node/214202783,Q200955,"historic,historical_places,interesting_places,historic_settlements",-73.5376,-47.8035,Chile
N214228350,Sewell,7.0,node/214228350,Q588417,"historic,historical_places,interesting_places,historic_settlements",-70.3829,-34.0849,Chile
N2142452305,Fireman's Drinking Fountain,7.0,node/2142452305,Q5451890,"fountains,historic,monuments_and_memorials,cultural,urban_environment,interesting_places,sculptures,monuments",-75.613,40.752,United States
N2143378412,The Old Mill,7.0,node/2143378412,Q7084525,"guest_houses,architecture,historic_architecture,accomodations,interesting_places,foods,bars,tourist_facilities,other_buildings_and_structures",-79.4929,43.6507,Canada
N2143890047,Betalov spodmol,7.0,node/2143890047,Q10428977,"historic,archaeology,interesting_places,other_archaeological_sites",14.1878,45.7922,Eslovenia
N2143998226,Kanazawa Citizens' Art Center,7.0,node/2143998226,Q11647432,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",136.64,36.5684,Japón
N2146147851,Kazuemachi,7.0,node/2146147851,Q11368794,"historic,historical_places,urban_environment,cultural,interesting_places,historic_districts,squares",136.664,36.5723,Japón
N2150848970,Trethevy Quoit,7.0,node/2150848970,Q1403777,"megaliths,historic,dolmens,archaeology,burial_places,interesting_places",-4.45543,50.4932,United Kingdom
N2152896668,Creu del Terme,7.0,node/2152896668,Q20901160,"religion,other_temples,interesting_places",0.442934,40.5919,España
N2158247319,Catedral,7.0,node/2158247319,Q16490514,"religion,architecture,historic_architecture,churches,interesting_places,restaurants,foods,tourist_facilities,other_buildings_and_structures,other_churches",-60.7099,-31.6569,Colombia
N2159348006,Menhir de la Baudouinais,7.0,node/2159348006,Q22926895,"megaliths,historic,monuments_and_memorials,archaeology,interesting_places,menhirs,monuments",-1.39591,48.2259,France
N2166050864,Balthayock Castle,7.0,node/2166050864,Q17844840,"architecture,historic_architecture,fortifications,historic,interesting_places,manor_houses,castles",-3.33933,56.3915,United Kingdom
N2169513303,Restaurante Huaca Pucllana,7.0,node/2169513303,Q677387,"architecture,historic_architecture,historic,archaeology,interesting_places,other_archaeological_sites,restaurants,foods,tourist_facilities,other_buildings_and_structures",-77.033,-12.1111,Perú
N2177334018,Santa Cruz Church,7.0,node/2177334018,Q5885120,"religion,churches,interesting_places,other_churches",-8.42414,41.5494,Tailandia
N2180540247,Cerro Gaital,3.0,node/2180540247,Q5762999,"mountain_peaks,geological_formations,natural,interesting_places",-80.1235,8.62462,Panamá
N2181536063,Santa Fe,7.0,node/2181536063,Q17389618,"religion,churches,interesting_places,other_churches",1.36008,41.5431,España
N2182066777,Pelourinho de Ponte da Barca,7.0,node/2182066777,Q10348172,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",-8.42052,41.8087,Portugal
N2183905593,Banc-reposoir napoléonien,7.0,node/2183905593,Q14628636,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",7.24214,48.8697,France
N218549971,Vardzia,7.0,node/218549971,Q691813,"religion,fortifications,historic,historical_places,monasteries,interesting_places,castles,historic_settlements",43.2845,41.381,Geogia
N2186441528,Santuario di Santa Maria Aula Regia,7.0,node/2186441528,Q24913059,"religion,churches,interesting_places,other_churches",12.1721,44.6999,Italia
N2187020333,Oflings,7.0,node/2187020333,Q1013418,"fortifications,historic,interesting_places,castles",9.84582,47.7067,Alemania
N218883287,Tipón,7.0,node/218883287,Q2003624,"architecture,historic_architecture,historic,archaeology,interesting_places,destroyed_objects,other_archaeological_sites",-71.7838,-13.571,Perú
N2191179638,Santa Maria de Vallsanta,7.0,node/2191179638,Q6021546,"religion,architecture,historic_architecture,monasteries,interesting_places,destroyed_objects",1.16205,41.5669,España
N2192860700,Església de Sant Gallard,7.0,node/2192860700,Q17602095,"religion,churches,interesting_places,other_churches",1.39161,41.513,España
N2196765773,Wat Phra That Khao Noi,7.0,node/2196765773,Q13017426,"religion,buddhist_temples,interesting_places",100.751,18.7695,Tailandia
N2198699522,Boca del Drago,2.0,node/2198699522,Q104540817,"other,unclassified_objects,interesting_places,tourist_object",-82.3311,9.41456,Panamá
N2199502251,Manoir de Gonneville,7.0,node/2199502251,Q3286186,"architecture,historic_architecture,fortifications,historic,interesting_places,manor_houses,castles",-1.58732,49.0813,France
N2202721738,Millers Run Covered Bridge,7.0,node/2202721738,Q897004,"view_points,other,bridges,architecture,interesting_places,other_bridges",-72.01,44.542,United States
N2202721740,Sanborn Covered Bridge,7.0,node/2202721740,Q28124192,"view_points,other,bridges,architecture,interesting_places,other_bridges",-72.0009,44.5441,United States
N2202727411,Mount Orne Covered Bridge,7.0,node/2202727411,Q14629040,"view_points,other,bridges,architecture,interesting_places,other_bridges",-71.6527,44.4602,United States
N2202863060,Fisher Covered Railroad Bridge,7.0,node/2202863060,Q22073303,"view_points,other,bridges,architecture,interesting_places,other_bridges",-72.4278,44.5323,United States
N2202867971,Jaynes Covered Bridge,7.0,node/2202867971,Q28124198,"view_points,other,interesting_places",-72.7562,44.712,United States
N2202883130,Larkin Covered Bridge,7.0,node/2202883130,Q28123631,"view_points,other,bridges,architecture,interesting_places,other_bridges",-72.4654,43.923,United States
N2203515987,Sant Martí de les Piles,7.0,node/2203515987,Q18007067,"religion,churches,interesting_places,other_churches",1.34228,41.5036,España
N2203931291,Bartonsville Covered Bridge,7.0,node/2203931291,Q4865725,"view_points,other,bridges,architecture,interesting_places,other_bridges",-72.5368,43.2239,United States
N2203931296,Creamery Covered Bridge,7.0,node/2203931296,Q22073301,"bridges,architecture,interesting_places,other_bridges",-72.5858,42.8498,United States
N2203946798,Williamsville Covered Bridge,7.0,node/2203946798,Q23823832,"view_points,other,bridges,architecture,interesting_places,other_bridges",-72.6868,42.9429,United States
N2203954765,Willard Twin Covered Bridges,7.0,node/2203954765,Q28123666,"view_points,other,bridges,architecture,interesting_places,other_bridges",-72.3497,43.5937,United States
N2206002147,Itzenplitz 2,7.0,node/2206002147,Q1550017,"industrial_facilities,abandoned_mineshafts,mineshafts,interesting_places",7.09269,49.3529,Alemania
N2206002148,Itzenplitz 3,7.0,node/2206002148,Q1550017,"industrial_facilities,abandoned_mineshafts,mineshafts,interesting_places",7.09223,49.3531,Alemania
N2207570062,Brest,7.0,node/2207570062,Q2255490,"railway_stations,industrial_facilities,interesting_places",-4.48009,48.3877,France
N2212067430,Wat Pha Khao Pan,7.0,node/2212067430,Q59614398,"religion,buddhist_temples,interesting_places",100.088,20.2777,Tailandia
N2218137438,Château de Gréolières,7.0,node/2218137438,Q15944479,"architecture,historic_architecture,fortifications,historic,interesting_places,destroyed_objects,castles",6.9426,43.7949,France
N2218699046,Mendig,7.0,node/2218699046,Q801173,"railway_stations,industrial_facilities,interesting_places",7.29102,50.3696,Alemania
N2230835962,San Fransisco,7.0,node/2230835962,Q5116751,"religion,churches,interesting_places,other_churches",-78.5145,-0.220483,Ecuador
N2240285031,Rock-carved Seated Buddha of Beopjusa Temple,7.0,node/2240285031,Q484931,"religion,buddhist_temples,historic,archaeology,interesting_places,other_archaeological_sites",127.832,36.5414,Corea del Sur
N2240285179,Stone Standing Bodhisattva of Beopjusa Temple,7.0,node/2240285179,Q484931,"religion,buddhist_temples,historic,archaeology,interesting_places,other_archaeological_sites",127.833,36.5424,Corea del Sur
N2240285212,Stone Lantern of the Four Guardian Kings at Beopjusa Temple,7.0,node/2240285212,Q484931,"religion,buddhist_temples,historic,archaeology,interesting_places,other_archaeological_sites",127.833,36.5425,Corea del Sur
N2248515658,Kibyra,7.0,node/2248515658,Q1643467,"settlements,historic,archaeology,interesting_places",29.4916,37.1596,Turquía
N2259047388,Santisima Cruz de los Milagros,7.0,node/2259047388,Q16915912,"religion,churches,interesting_places,other_churches",-58.8402,-27.4721,Argentina
N2260257903,Rüdberg castle ruin,7.0,node/2260257903,Q29786711,"architecture,historic_architecture,fortifications,historic,archaeology,interesting_places,destroyed_objects,castles,other_archaeological_sites",9.08829,47.3498,Alemania
N2261309382,Mayravanq,7.0,node/2261309382,Q21513737,"religion,monasteries,interesting_places",44.6894,40.4853,Armenia
N2261309386,Kaptavanq,7.0,node/2261309386,Q42972120,"religion,churches,interesting_places,other_churches",44.6961,40.3285,Armenia
N2262105229,San Romedio,7.0,node/2262105229,Q1283479,"religion,churches,interesting_places,other_churches",11.1067,46.3689,Italia
N2266613531,Bundesfestung Ulm,7.0,node/2266613531,Q50709,"fortifications,historic,interesting_places,castles",9.98461,48.4115,Alemania
N2266660204,Aparan Basilica,7.0,node/2266660204,Q2664877,"religion,churches,interesting_places,other_churches",44.3567,40.5934,Armenia
N2268894728,Charles Wesley & Samuel Wesley,7.0,node/2268894728,Q5083451,"biographical_museums,historic_house_museums,cultural,museums,interesting_places,history_museums",-2.59238,51.4603,United Kingdom
N2270104135,Panadería Plaza Páez,7.0,node/2270104135,Q6079766,"architecture,historic_architecture,interesting_places,shops,bakeries,tourist_facilities,other_buildings_and_structures",-66.9252,10.4908,Venezuela
N2271243041,Municipal,7.0,node/2271243041,Q9082170,"architecture,historic_architecture,cultural,theatres_and_entertainments,interesting_places,other_theatres,restaurants,foods,tourist_facilities,other_buildings_and_structures",-66.9173,10.5016,Venezuela
N2272933285,Ermita de San Miguel,7.0,node/2272933285,Q5836151,"religion,churches,interesting_places,catholic_churches",-4.17605,42.9379,España
N2273752702,Château de Tourville,7.0,node/2273752702,Q22979554,"fortifications,historic,interesting_places,castles",-1.32896,49.5189,France
N2275111021,Ussuriysk drama theatre,7.0,node/2275111021,Q4453465,"cultural,theatres_and_entertainments,interesting_places,music_venues",131.945,43.792,Rusia
N2276227277,Historisches Stadttheater,7.0,node/2276227277,Q124849,"religion,other_temples,cultural,theatres_and_entertainments,interesting_places,other_theatres",10.1565,48.3052,Alemania
N2281099893,Saint Hakob Church,7.0,node/2281099893,Q16399811,"religion,churches,interesting_places,other_churches",44.535,40.2203,Armenia
N2281179889,Dolmen de Colbas,7.0,node/2281179889,Q3034004,"megaliths,historic,dolmens,monuments_and_memorials,burial_places,archaeology,interesting_places,monuments",6.83193,43.6563,France
N2282202583,Tsechenling,7.0,node/2282202583,Q18785077,"religion,buddhist_temples,interesting_places",94.4506,51.7238,Rusia
N2283708782,Taichung Liu-Yuan Presbyterian Church,7.0,node/2283708782,Q11109392,"religion,other_temples,interesting_places",120.681,24.1458,Taiwán
N2286658095,Medieval city of Rhodes,7.0,node/2286658095,Q876685,"historic,historical_places,interesting_places,historic_districts",28.2266,36.4428,Grecia
N2291125601,Gosport Railway Station,7.0,node/2291125601,Q5587450,"railway_stations,industrial_facilities,abandoned_railway_stations,interesting_places",-1.12927,50.7978,United Kingdom
N2292702300,Torre de la Guàrdia de Déu,7.0,node/2292702300,Q18008423,"fortifications,historic,interesting_places,castles",1.05595,41.7217,España
N2294608904,"Château de Grandval, Manche",7.0,node/2294608904,Q22968768,"fortifications,historic,interesting_places,castles",-1.33042,49.4302,France
N2294638963,Santuario e Sacro Monte di Oropa,7.0,node/2294638963,Q384966,"religion,other_temples,interesting_places",7.98267,45.6259,Italia
N2294638964,Santuario e Sacro Monte di Oropa,7.0,node/2294638964,Q384966,"religion,other_temples,interesting_places",7.98241,45.6261,Italia
N2299813068,Giardini Botanici Villa Taranto,7.0,node/2299813068,Q1152424,"architecture,historic_architecture,interesting_places,manor_houses,restaurants,foods,tourist_facilities",8.56498,45.9256,Italia
N2300358620,Convento de San Francisco,7.0,node/2300358620,Q16491445,"religion,churches,monasteries,interesting_places,catholic_churches",-70.6892,-32.7842,Panamá
N2303138554,Arco de la Federación,3.0,node/2303138554,Q5703168,"architecture,historic_architecture,historic,monuments_and_memorials,interesting_places,monuments,triumphal_archs",-66.921,10.5061,Venezuela
N2303615791,Museo Ferroviario Nacional de Tacna,7.0,node/2303615791,Q6975186,"national_museums,cultural,museums,interesting_places,museums_of_science_and_technology,railway_museums",-70.2545,-18.0129,Perú
N2303950496,Ex Linificio-Canapificio,7.0,node/2303950496,Q3735796,"other_buildings,industrial_facilities,interesting_places",11.5996,44.8522,Italia
N2304303130,Ayacucho,7.0,node/2304303130,Q6139606,"cultural,cinemas,theatres_and_entertainments,interesting_places",-66.9165,10.5055,Venezuela
N2305254150,Nibelungenbrücke Worms,7.0,node/2305254150,Q1984625,"bridges,architecture,interesting_places,other_bridges",8.37789,49.631,Alemania
N2305795082,Martinho da Arcada,7.0,node/2305795082,Q10326949,"architecture,historic_architecture,interesting_places,foods,cafes,tourist_facilities,other_buildings_and_structures",-9.13585,38.7087,Portugal
N2305959372,Capilla Lo Contador,7.0,node/2305959372,Q5977960,"religion,other_temples,interesting_places",-70.618,-33.4194,Chile
N2306125558,Samshvilde Castle-Ruins,7.0,node/2306125558,Q12868759,"settlements,architecture,historic_architecture,fortifications,historic,archaeology,interesting_places,destroyed_objects,castles",44.5037,41.5073,Geogia
N2306197981,"Saint Nikolay Russian Church, Amrakits",7.0,node/2306197981,Q4504809,"religion,churches,interesting_places,eastern_orthodox_churches",44.4383,40.9948,Armenia
N2309449184,Cerro Pando,2.0,node/2309449184,Q28125114,"mountain_peaks,geological_formations,natural,interesting_places",-82.7119,8.92226,Costa Rica
N2310108065,Balsam Lake Mountain Fire Tower,7.0,node/2310108065,Q4852537,"architecture,towers,interesting_places,observation_towers",-74.5948,42.0456,United States
N2311191720,Saint Gevorg Church,7.0,node/2311191720,Q20515652,"religion,churches,interesting_places,other_churches",44.4738,40.1176,Armenia
N2313301195,Château de Montfort,7.0,node/2313301195,Q22963372,"architecture,historic_architecture,fortifications,historic,interesting_places,destroyed_objects,castles",-1.27025,49.1916,France
N2315242139,Bush Inn,7.0,node/2315242139,Q7720719,"architecture,historic_architecture,interesting_places,pubs,foods,tourist_facilities,other_buildings_and_structures",-3.41791,51.4501,United Kingdom
N2316968793,rennie mackintosh hotel - central station,7.0,node/2316968793,Q5061220,"other_buildings,industrial_facilities,accomodations,interesting_places,other_hotels",-4.25721,55.8594,United Kingdom
N2326559337,Wat Pa Sak,7.0,node/2326559337,Q13452399,"religion,architecture,historic_architecture,buddhist_temples,historic,archaeology,interesting_places,destroyed_objects,other_archaeological_sites",100.077,20.2741,Tailandia
N2327382504,Mare de Déu dels Arcs de Claravalls,7.0,node/2327382504,Q28363289,"religion,other_temples,interesting_places",1.12416,41.7025,España
N2327512177,Arnate,7.0,node/2327512177,Q3623547,"historic,historical_places,interesting_places,historic_districts",8.7908,45.6479,Italia
N2328707867,Cascada de Río Verde,3.0,node/2328707867,Q5755929,"water,natural,interesting_places,waterfalls",-78.2958,-1.40475,Ecuador
N2331729324,Ballıca Cave,7.0,node/2331729324,Q4852313,"geological_formations,natural,interesting_places,caves",36.3015,40.2273,Turquía
N2332769607,Nonantola,7.0,node/2332769607,Q334074,"religion,cathedrals,monasteries,interesting_places",11.0432,44.6783,Italia
N2335466418,Mare de Déu del Remei d'Ossó de Sió,7.0,node/2335466418,Q26773102,"religion,churches,interesting_places,other_churches",1.1592,41.7545,España
N2337332489,Puente del Paso Honroso,7.0,node/2337332489,Q2055623,"bridges,architecture,historic,monuments_and_memorials,interesting_places,monuments,other_bridges",-5.87919,42.4641,España
